,,,Updated Weekly,Last Updated:,,,,2026-02-01,Join Discord,Join /r/Displate,Sales data from eBay (since February 2021),,,,,,
ID,Release Date,Image,Name / Link,Quantity,Type,Number,Cost,Artist,Normal Version,Normal Name / Link,# Resales,High Price,Weighted Avg,Avg Price,Low Price,Total Sales,Last Sale
2142476,4/6/2020,,The New York Flow,100,LE,1st,$139,Retina Creative,,New York,0,,,,,,
2145124,4/6/2020,,The London Birds-eye,100,LE,2nd,$139,Retina Creative,,London,0,,,,,,
2145185,4/6/2020,,Fearless Fox,100,LE,3rd,$139,Tomasz Dąbek,,Fox - sketch,2,"$1,336","$1,336",$993,$650,"$1,986",4/24/2024
2152065,4/6/2020,,Moonlight Dusk,100,LE,4th,$139,SpaceFrog Designs,,Evening Mist,4,"$1,640","$1,639","$1,098",$791,"$4,391",7/7/2024
2175915,4/16/2020,,Underwater Flight,100,LE,5th,$139,SpaceFrog Designs,,Metallic Stingray,3,"$1,301","$1,301",$831,$591,"$2,492",7/18/2024
2252924,4/23/2020,,Heart of Paris,100,LE,6th,$139,Retina Creative,,Paris,0,,,,,,
2295351,4/30/2020,,Destination: Earth,100,LE,7th,$139,Tobias Roetsch,,A Portrait of the Solar System: Earth,5,"$2,800","$1,689","$1,725",$700,"$8,627",1/4/2025
2344052,5/7/2020,,Wild Wolf,100,LE,8th,$139,Tomasz Dąbek,,Wolf - sketch,2,"$1,950","$1,948","$1,425",$900,"$2,850",4/24/2024
2388976,5/14/2020,,Lord of the Sith,100,LE,9th,$139,Star Wars,,Lord Graffiti Helmet,4,"$1,179","$1,179",$583,$200,"$2,334",3/20/2023
2458633,5/21/2020,,Destination: Mars,100,LE,10th,$139,Tobias Roetsch,,A Portrait of the Solar System: Mars,5,"$2,942","$1,393","$1,815","$1,199","$9,076",10/20/2025
2519487,5/28/2020,,Gotham Knight,100,LE,11th,$139,DC Comics,,Black Mirror,5,$892,$892,$578,$337,"$2,892",1/31/2026
2588328,6/4/2020,,Black Hole,100,LE,12th,$139,Retina Creative,N/A,N/A,7,"$3,630","$3,504","$1,700",$230,"$11,900",9/28/2024
